Name of Ministry,Link to Ministry
President of Pakistan,http://president.gov.pk
Prime Minister of Pakistan,http://pmo.gov.pk
National Assembly of Pakistan,http://na.gov.pk
Senate of Pakistan,http://senate.gov.pk
Supreme Court of Pakistan,http://www.supremecourt.gov.pk
Cabinet Secretariat,http://www.cabinet.gov.pk
Ministry of Climate Change,http://www.mocc.gov.pk
Ministry of Commerce and Textile,http://www.commerce.gov.pk
Ministry of Communications,http://www.communication.gov.pk/
Ministry of Defence,http://www.mod.gov.pk
Ministry of Defence Production,http://www.modp.gov.pk
Ministry of Energy,javascript:void(null);
Ministry of Federal Education  and Professional Training,http://www.moent.gov.pk/
"Ministry of Finance, Revenue and Economic Affairs",http://www.finance.gov.pk
Ministry of Foreign Affairs,http://www.mofa.gov.pk/
Ministry of Housing & Works,http://mohw.gov.pk/
Ministry of Human Rights,http://www.mohr.gov.pk/
Ministry of Interior,https://www.interior.gov.pk/
Ministry of Inter-Provincial Coordination,http://www.ipc.gov.pk/
Ministry of Kashmir Affairs and Gilgit-Baltistan,http://www.kana.gov.pk
Ministry of Law and Justice,http://www.molaw.gov.pk/
Ministry of Narcotics Control,http://narcon.gov.pk
"Ministry of National Health Services, Regulations and Coordination",http://www.nhsrc.gov.pk/
Ministry of Overseas Pakistanis and Human Resource Development,http://www.ophrd.gov.pk/
Ministry of Parliamentary Affairs,http://www.mopa.gov.pk
Ministry of Maritime Affairs,http://www.mops.gov.pk
Ministry of Postal Services,No href
Ministry of Privatization,No href
Ministry of Railways,http://www.railways.gov.pk/
Ministry of Religious Affairs and Inter-faith Harmony,http://www.mora.gov.pk/
Ministry of Science and Technology,http://www.most.gov.pk
Ministry of States and Frontier Regions,http://www.safron.gov.pk/
Ministry of Water Resources,http://www.mowr.gov.pk/
